question,answer
Jak sie czujesz, wie fuhlst du dich
Co czujesz, was empfindest du
Dlaczego jestes taka zdenerwowana, warum bist du so aufgeregt
Kiedy czujesz sie dobrze, wann fuhlst du dich wohl
Co jest twoim problemem, was ist dein problem
jak to wpływa na ciebie, wie wirkt das auf dich
Jakie masz nastawienie do innych, welche einstellung zu andern hast du
Czuje sie..., ich fuhle mich
Prawdopodobnie oczekuje zbyt wiele, ich erwarte wahrscheinlich zu viel
Jestem czesto pod presja, ich stehe oft unter druck
To mnie niszczy, das macht mich fertig
Mam wyrzuty sumienia, ich habe ein schletes gewissen
jestem u kresu wytrzymalosci, ich habe ein schlechtes gewissen
boje sie odrzucenia, ich have angst vor ablehnung
trudno mi o tym mowic, es fallt mir schwer daruber zu sprechen
nie moge wyrazic swoich uczuc, ich kan meine gefuhle nich ausdrucken
Dlaczego to sie stalo, warum ist das passiert
jak do tego doszlo, wie ist es dazu gekommen
co bylo przyczyna konfliktu, was war die ursache des konfliktes
co bylo powodem konfliktu, was war der grund des konfliktes
poca mi sie dlonie, ich bekomme feuchte hande
ich werde rot im gesicht, czerwienie sie na twarzy
poce sie, ich schwitze
serce skacze mi do gardla, mein herz schalgt mir bis zum halse
kolana sie pode mna uginaja, ich bekomme weiche knie
mowie calkiem cicho, ich spreche ganz leise
nie moge sie soncentrowac, ich kann mich nicht konzentrieren
robi mi sie ciemno przed oczyma, mir wird schwarz vor den augen
robiono mi wyrzuty, man har mir vorwurfe gemacht
nie ma sie wystarczajaco duzo czasu dla siebie, man nimmt sich nich genug zeit fur sich
wysmiano mnie, ich wurde ausgelacht
obrazono mnie slownie, ich wurde beschimpft
pobito mnie, ich wurde geprugelt
nikt nie tego nie nauczyl, niemand hat mir das beigebracht
jak podchodzisz do prblemow, wie gehst du probleme an
jak sobie radzisz z..., was unternimmst du gegen
podchodze do problemu na chlodno, ich gehen das problem mit kuhlem kopf an
rozmawiam duzo z przyjaciolmi o problemie, ich spreche viel mit feunden uber das problem
przemilczam problemy, ich verschweige die probleme
nie moge znalezc odpowiednich slow, ich kann kene richtigen worte finden
prawie nic nie robie, ich unternehme kaum etwas
szukam winy w sobie, ich suche die schuld in mir
nie rozmawiam o tym z nikim, ich spreche mit keinem daruber
robie dobra mine do zlej gry, ich mache gute miene zum bosen spiel
trzeba mowic o swoich uczuciach, man soll uber seine gefuhle sprechen
trzeba sie uspokoic, man soll sich beruhigen
trzeba wyjsc z przyjaciolmi, man soll mit freunden ausgehen
trzeba rozmawiac o tym z przyjaciolmi, man soll mit freunden daruber sprechen
trzeba zwalczac stres, man muss den stress abbauen
trzeba zapewnic sobie relaks, man muss fur entspannung sorgen